segment_index,road_segment_id,name,highway,length_m,madina_flow,flow_distance_km,protected_local_street,major_road
1869,8538,,tertiary,2.8661768537788794,0.0,0.0,False,False
1870,8539,,tertiary,156.78191145997428,0.0,0.0,False,False
1871,8540,,tertiary,62.330804687099736,0.0,0.0,False,False
1872,8541,,tertiary,57.8370038209523,0.0,0.0,False,False
1873,8542,,tertiary,109.0380366401645,0.0,0.0,False,False
1874,8543,,tertiary,48.053184434738476,0.0,0.0,False,False
1875,8551,,tertiary,64.7825718077863,0.0,0.0,False,False
1876,8552,,tertiary,60.96069390242807,0.0,0.0,False,False
1877,8553,,tertiary,55.44417140364784,0.0,0.0,False,False
1878,8554,,tertiary,116.32708769639629,0.0,0.0,False,False
1879,8555,,tertiary,70.27729913229496,0.0,0.0,False,False
1880,8556,,tertiary,59.465289016530704,0.0,0.0,False,False
1881,8557,,tertiary,143.70041780450808,0.0,0.0,False,False
1882,8558,,tertiary,197.69317363883903,0.0,0.0,False,False
1883,8559,,tertiary,83.8480948719538,0.0,0.0,False,False
1884,8560,,tertiary,100.99694172627972,0.0,0.0,False,False
1885,8561,,tertiary,83.24180727838628,0.0,0.0,False,False
1886,8562,طريق الملك عبدالعزيز,trunk,267.3639821878674,0.0,0.0,False,True
1887,8563,طريق الملك عبدالعزيز,trunk,55.82819941907345,0.0,0.0,False,True
1888,8564,طريق الملك عبدالعزيز,trunk,35.93157166262779,0.0,0.0,False,True
1889,8565,طريق الملك عبدالعزيز,trunk,178.97625068837368,0.0,0.0,False,True
1890,8566,طريق الملك عبدالعزيز,trunk,68.94916256461086,0.0,0.0,False,True
1891,8567,طريق الملك عبدالعزيز,trunk,104.51268902320417,0.0,0.0,False,True
1892,8568,طريق الملك عبدالعزيز,trunk,230.17806653140187,0.0,0.0,False,True
1893,8569,طريق الملك عبدالعزيز,trunk,42.04210772141876,0.0,0.0,False,True
1894,8570,طريق الملك عبدالعزيز,trunk,200.3209253166309,0.0,0.0,False,True
1895,8571,طريق الملك عبدالعزيز,trunk,299.761347259462,0.0,0.0,False,True
1896,8572,طريق الملك عبدالعزيز,trunk,136.38452269731164,0.0,0.0,False,True
1897,8573,طريق الملك عبدالعزيز,motorway,402.53707379840273,0.0,0.0,False,True
1898,8574,,tertiary_link,11.292427124854038,0.0,0.0,False,False
1899,8575,,tertiary,9.855198004653122,0.0,0.0,False,False
1900,8576,,tertiary,11.0130659097281,0.0,0.0,False,False
1901,8577,,tertiary,11.269093278196754,0.0,0.0,False,False
1902,8640,,tertiary,136.32412051960583,0.0,0.0,False,False
1903,8641,,tertiary,37.695951133535274,0.0,0.0,False,False
1904,8642,,tertiary,20.379237491783666,0.0,0.0,False,False
1905,8643,,tertiary,66.90375610368109,0.0,0.0,False,False
1906,8644,,tertiary,25.73057181967694,0.0,0.0,False,False
1907,8645,,tertiary,52.646183212107445,0.0,0.0,False,False
1908,8646,,tertiary,25.84571336797982,0.0,0.0,False,False
1909,8647,,tertiary,39.55958950501507,0.0,0.0,False,False
1910,8648,,tertiary,134.21903410428337,0.0,0.0,False,False
1911,8649,,tertiary,36.19281318147553,0.0,0.0,False,False
1912,8650,,tertiary,2.4629333112951746,0.0,0.0,False,False
1913,8651,,tertiary,148.6675836969279,0.0,0.0,False,False
1914,8652,,tertiary,86.43411027702933,0.0,0.0,False,False
1915,8653,,tertiary,82.57358539683237,0.0,0.0,False,False
1916,8654,,tertiary,25.798878968221732,0.0,0.0,False,False
1917,8655,,secondary,111.54159884755997,0.0,0.0,False,True
1918,8656,,tertiary,47.03880185662924,0.0,0.0,False,False
1919,8657,,tertiary,114.65036250476963,0.0,0.0,False,False
1920,8658,,tertiary,129.63896405569216,0.0,0.0,False,False
